frame_index,node1_x_cm,node1_y_cm,node1_z_cm,node2_x_cm,node2_y_cm,node2_z_cm,distance_between_cm,node1_heading_deg,node1_dheading_deg,node1_pitch_deg,node1_dpitch_deg,node2_heading_deg,node2_dheading_deg,node2_pitch_deg,node2_dpitch_deg,node1_azimuth_deg,node1_dazimuth_deg,node1_elevation_deg,node1_delevation_deg,node2_azimuth_deg,node2_dazimuth_deg,node2_elevation_deg,node2_delevation_deg
11,124.1208248184403,-4.334394712610354,-14.15040172098834,127.7879603429557,-1.784372480955243,-7.145152639124967,8.308069031733295,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,-2.0,-2.0999999999999943,-6.5,0.4000000000000057,-0.8,-1.4000000000000057,-3.2,0.4000000000000057
12,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,-2.9,-3.0,-5.4,1.5,-0.8,-1.4000000000000057,-3.2,0.4000000000000057
13,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,-2.9,-3.0,-5.4,1.5,-0.8,-1.4000000000000057,-3.2,0.4000000000000057
14,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053,176.0,0.0,-175.4375,0.0,201.1875,0.0,-162.9375,0.0,-2.9,-3.0,-5.4,1.5,-0.8,-1.4000000000000057,-3.2,0.4000000000000057
15,126.27444967632754,-6.396787665862963,-11.951755791451319,127.7879603429557,-1.784372480955243,-7.145152639124967,6.831436323345053,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-2.9,-3.0,-5.4,1.5,-0.8,-1.4000000000000057,-3.2,0.4000000000000057
16,125.23831738801691,-0.43716597319543127,-13.826523197471705,125.76498460115523,-0.0,-7.692115981391966,6.172474733379309,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-0.2,-0.30000000000001137,-6.3,0.5999999999999943,-0.0,-0.5999999999999943,-3.5,0.09999999999999432
17,123.50438926316086,-1.077806476678014,-11.022892811438748,125.80872191080432,1.3175140159201841,-6.813930436081687,5.363102972200679,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-0.5,-0.5999999999999943,-5.1,1.8000000000000114,0.6,0.0,-3.1,0.5
18,125.47206950356903,-1.5330067867423176,-11.4197051049203,122.90016595282422,1.5015834937836698,-4.721700517764953,7.790166332919382,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-0.7,-0.8000000000000114,-5.2,1.6999999999999886,0.7,0.09999999999999432,-2.2,1.4000000000000057
19,131.1675755178832,-1.6025939817923438,-14.713899051234963,125.41365961972821,9.209803462684661,-7.911605460693485,14.010234999895442,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-0.7,-0.8000000000000114,-6.4,0.5,4.2,3.5999999999999943,-3.6,0.0
20,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476,176.0,0.0,-175.5,-0.0625,201.1875,0.0,-162.9375,0.0,-0.6,-0.6999999999999886,-4.9,2.0,4.2,3.5999999999999943,-3.6,0.0
21,124.53633324326842,-1.3041891058685178,-10.677115392170935,125.41365961972821,9.209803462684661,-7.911605460693485,10.90696046034476,176.0,0.0,-175.5,-0.0625,207.5625,6.375,-162.9375,0.0,-0.6,-0.6999999999999886,-4.9,2.0,4.2,3.5999999999999943,-3.6,0.0
